Store Number,Address,City,State,Zip Code,Phone Number,Store Hours,Gas,Diesel,Latitude,Longitude,Accuracy
6,"68 MAIN ST., PO BOX 21",WESTMINSTER,MA,01473,(978) 874-0738,5 AM - 12 AM,,FALSE,42.5481529,-71.9159499,STREET_ADDRESS: RANGE_INTERPOLATED
12,4 COMMON ST,WRENTHAM,MA,02093,(508) 384-1283,5 AM - 12 AM,,FALSE,42.065392,-71.328871,STREET_ADDRESS: ROOFTOP
16,64 PARK STREET,AYER,MA,01432,(978) 772-5128,5 AM - 11 PM,,FALSE,42.5663214,-71.5922553,STREET_ADDRESS: RANGE_INTERPOLATED
23,76 CITY HALL AVE,GARDNER,MA,01440,(978) 632-6391,Open 24 hours,TRUE,FALSE,42.5746634,-71.9972835,STREET_ADDRESS: RANGE_INTERPOLATED
36,311 MAIN ST,OXFORD,MA,01540,(508) 987-9231,Open 24 hours,,FALSE,42.1171069,-71.8653118,STREET_ADDRESS: ROOFTOP
49,290 COUNTY ST,ATTLEBORO,MA,02703,(508) 226-2150,5 AM - 12 AM,,FALSE,41.9336874,-71.3002756,STREET_ADDRESS: RANGE_INTERPOLATED
81,206 WORCESTER STREET,NORTH GRAFTON,MA,01536,(508) 839-2618,5 AM - 12 AM,,FALSE,42.229742,-71.718766,STREET_ADDRESS: ROOFTOP
110,459 HARTFORD AVE,BELLINGHAM,MA,02019,(508) 966-9501,5 AM - 11 PM,TRUE,FALSE,42.132075,-71.447778,STREET_ADDRESS: ROOFTOP
119,616 CHANDLER STREET,WORCESTER,MA,01602,(508) 752-6573,5 AM - 12 AM,TRUE,FALSE,42.2757579,-71.8518901,STREET_ADDRESS: ROOFTOP
125,126 MAIN ST,MEDWAY,MA,02053,(508) 533-8877,5 AM - 11 PM,,FALSE,42.1493423,-71.4193443,STREET_ADDRESS: RANGE_INTERPOLATED
129,53 MAIN STREET,FLORENCE,MA,01062,(413) 584-9853,Open 24 hours,TRUE,FALSE,42.335343,-72.66912,STREET_ADDRESS: ROOFTOP
130,651 WASHINGTON ST,SOUTH ATTLEBORO,MA,02703,(508) 399-8905,Open 24 hours,TRUE,FALSE,41.9100234,-71.3633438,STREET_ADDRESS: RANGE_INTERPOLATED
131,139 SOUTH ST,PLAINVILLE,MA,02762,(508) 699-2482,Open 24 hours,TRUE,FALSE,42.0057974,-71.3365944,STREET_ADDRESS: RANGE_INTERPOLATED
132,164 MAIN STREET,SPENCER,MA,01562,(508) 885-9189,Open 24 hours,,FALSE,42.244468,-71.9918679,STREET_ADDRESS: RANGE_INTERPOLATED
133,"16 UPTON ST., PO BOX 432",GRAFTON,MA,01519,(508) 887-9521,5 AM - 12 AM,TRUE,FALSE,42.2060974,-71.6828096,STREET_ADDRESS: ROOFTOP
135,1128 OAKHILL AVE,ATTLEBORO,MA,02703,(508) 431-2027,5 AM - 12 AM,TRUE,FALSE,41.9119886,-71.2585722,STREET_ADDRESS: ROOFTOP
139,105 WEST STREET,LUDLOW,MA,01056,(413) 589-7291,5 AM - 12 AM,TRUE,FALSE,42.1682026,-72.511014,STREET_ADDRESS: RANGE_INTERPOLATED
