Store Number,Store Location,Address,Address Line 2,Address Line 3,City,State,Zip Code,Phone Number,Store Hours,Wireless,Services,Latitude,Longitude
10001-99525,Tully & King - San Jose,1712 Tully Rd,,,San Jose,CA,95122-1841,(408) 531-8944,Mon: 05:00:00-22:30:00 Tue: 05:00:00-22:30:00 Wed: 05:00:00-22:30:00 Thu: 05:00:00-22:30:00 Fri: 05:00:00-23:00:00 Sat: 05:00:00-23:00:00 Sun: 06:00:00-23:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,37.322353,-121.825059
10003-98585,"Monterey & El Paseo, Palm Desert",73030 El Paseo,,,Palm Desert,CA,92260-4285,(760) 340-9429,Mon: 05:00:00-21:00:00 Tue: 05:00:00-21:00:00 Wed: 05:00:00-21:00:00 Thu: 05:00:00-21:00:00 Fri: 05:00:00-21:00:00 Sat: 05:00:00-21:00:00 Sun: 05:00:00-21:00:00,,Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi |,33.720752,-116.391295
10004-98481,"Alabama & Orange Tree Lane, Redland",1265 Alabama Street,Orange Tree Marketplace,,Redlands,CA,92374-2813,(909) 798-1426,Mon: 04:30:00-22:30:00 Tue: 04:30:00-22:30:00 Wed: 04:30:00-22:30:00 Thu: 04:30:00-22:30:00 Fri: 04:30:00-23:00:00 Sat: 04:30:00-23:00:00 Sun: 06:00:00-22:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,34.069266,-117.209164
10005-97691,"Bristol & Warner, Santa Ana",2303 S. Bristol Street,Bristol Warner Village,,Santa Ana,CA,92704-5755,(714) 957-2749,Mon: 05:00:00-22:30:00 Tue: 05:00:00-22:30:00 Wed: 05:00:00-22:30:00 Thu: 05:00:00-22:30:00 Fri: 05:00:00-23:00:00 Sat: 05:00:00-23:00:00 Sun: 05:30:00-22:30:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,33.71586,-117.884905
10008-98261,"Vista & Foothill, Vista",1385 East Vista Way,,,Vista,CA,92084-4041,(760) 726-0687,Mon: 04:30:00-21:30:00 Tue: 04:30:00-21:30:00 Wed: 04:30:00-21:30:00 Thu: 04:30:00-21:30:00 Fri: 04:30:00-22:00:00 Sat: 05:00:00-22:00:00 Sun: 05:00:00-21:30:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | Drive-Through |,33.219364,-117.225763
10009-98952,"Herndon & Milburn, Fresno",6701 N. Milburn Avenue,Herndon Place,101,Fresno,CA,93722-2147,(559) 436-1835,Mon: 05:00:00-23:00:00 Tue: 05:00:00-23:00:00 Wed: 05:00:00-23:00:00 Thu: 05:00:00-23:00:00 Fri: 05:00:00-23:00:00 Sat: 05:00:00-23:00:00 Sun: 05:00:00-23:00:00,,Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,36.83452,-119.87917
10010-97229,"Florida & Palm, Hemet",889 W. Florida Ave.,,,Hemet,CA,92543-4070,(951) 652-0910,Mon: 05:00:00-22:00:00 Tue: 05:00:00-22:00:00 Wed: 05:00:00-22:00:00 Thu: 05:00:00-22:00:00 Fri: 05:00:00-22:00:00 Sat: 05:30:00-22:00:00 Sun: 05:30:00-22:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,33.747259,-116.980115
10012-98199,"Hwy 905 & La Media, San Diego",8299 Otay Mesa Road,,D,San Diego,CA,92154-7701,(619) 710-0082,Mon: 04:30:00-19:00:00 Tue: 04:30:00-19:00:00 Wed: 04:30:00-19:00:00 Thu: 04:30:00-19:00:00 Fri: 04:30:00-19:00:00 Sat: 05:00:00-19:00:00 Sun: 05:00:00-19:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | Drive-Through |,32.567287,-116.965429
10015-169504,Rosecrans & Ingelow,1552 Rosecrans Street,,,San Diego,CA,92106-2262,(619) 758-1728,Mon: 04:30:00-22:30:00 Tue: 04:30:00-22:30:00 Wed: 04:30:00-22:30:00 Thu: 04:30:00-22:30:00 Fri: 04:30:00-22:30:00 Sat: 04:30:00-22:30:00 Sun: 04:30:00-22:30:00,Wireless Hotspot,Starbucks Reserve-Clover Brewed | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | Drive-Through |,32.726814,-117.227316
10016-73017,Boronda & Sanborn,1598 N Sanborn Rd,Boronda Plaza,A,Salinas,CA,93905-4762,(831) 754-6399,Mon: 05:30:00-21:30:00 Tue: 05:30:00-21:30:00 Wed: 05:30:00-21:30:00 Thu: 05:30:00-21:30:00 Fri: 05:30:00-21:30:00 Sat: 05:30:00-21:30:00 Sun: 05:30:00-21:30:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,36.694576,-121.595871
